id,identidad autopercibida,texto,predicciones_chatgpt
763,Media,"PORQUE NO ME FALTA COMIDA NUNCA, PUEDO MANDAR A MIS HIJOS A ESTUDIAR","comida, educación"
133,Media,"por lo que gano, por lo que trabajo, por mi poder adquisitivo.soy media para abajo","trabajo, ingresos, poder adquisitivo"
481,Obrera,porque su familia es toda trabajadora,"familia, trabajo"
1028,Obrera,porque es la laburante,trabajo
615,Obrera,"porque vivo de mi laburo, mi única fuente de trabajo y sostén","trabajo, sustento"
408,Obrera,SI NO TRABAJARAN NO ENTRARIA DINERO A LA CASA PARA VIVIR,"trabajo, ingresos, vivir"
498,Obrera,siempre trabajó para poder subsistir,"trabajo, subsistir"
734,Obrera,la clase trabajadora a la cual pertenece es la que levanta al país,clase trabajadora
353,Obrera,PORQUE VIVO TRABAJANDO,trabajo
805,Obrera,"porque no tengo casa propia, tengo auto viejo","vivienda, auto"
885,Media,"porque estamos por este gobierno.por razones políticas, país inestable, damos diez pasos adelante y otros diez pasos atrás.retrocedemos un montón","gobierno, políticas, país inestable"
684,Obrera,LABURO Y ME ESFUERZO. NADIE ME DA NADA,trabajo
1115,Obrera,"durante toda la vida trabajó, es un trabajador",trabajo
568,Media alta,POR LOS ESTUDIOS QUE LOGRE,educación
329,Media,"porque no tengo ninguna necesidad, pero tampoco tengo la plata para hacer todo lo que quisiera","ingresos, dinero"
88,Media,nivel económico y lo que pued hacer,"ingresos, capacidad económica"
1102,Media,"MEDIA, TENGO ACCESO A VARIAS COSAS, A LO ECONÓMICO, E INTELECTUAL, TAMBIEN TENGO ESTUDIOS QUE ME DAN POSIBILIDADES","media, acceso económico, acceso intelectual, estudios"
488,Obrera,"no son pudientes, lo que ganan les alcanza para vivir ajustadamente","ingresos, vivir ajustadamente"
685,Obrera,MI MARIDO ES OBRERO Y YO SOY AMA DE CASA,"trabajo, familia, vivienda"
281,Media,"por formación, por tener algo de estudios, aunque no terminé nada",educación
771,Obrera,porque soy una trabajadora full time.el sueldo no me hacía pasar a otros niveles.la clase media es una clase alta. Todo siempre me costó mucho,"trabajo, sueldo, nivel social"
898,Obrera,"porque siempre trabajé, tengo lo mío trabajando",trabajo
445,Obrera,trabjó mucho para tener lo que tiene,trabajo
205,Baja,PORQUE NO TIENE UN INGRESO BUENO,ingresos
352,Obrera,PORQUE ME LA PASO LABURANDO,trabajo
221,Media,porque la cultura que tene es la de un pequeño burgués.que no es ni buena ni mala.tiene que ver también con las determinadas posiblidades de vida,"cultura, posibilidades de vida"
850,Obrera,trabajó toda la vida,trabajo
386,Obrera,"PORQUE SOY UN OBRERO, UN TRABAJADOR",trabajo
44,Obrera,puedo satisfacer mis necesidades pero a precio de tener que estar todo el tiempo trabajando y no disfrutar de lo que consigo de ese trabajo,trabajo
468,Obrera,nació pobre sigue siendo pobre,ingresos
529,Obrera,porque siempre trabajó en lo que pudo,trabajo
594,Media,"porque alcanza para vivir y para mantener sus cosas, por eso ni alta ni baja","ingresos, vivienda"
868,Media,PORQUE TRABAJA PARA GANARSE EL SUSTENTO Y PAGAR CUENTAS Y SUBSISTIR,"trabajo, ingresos, subsistir"
396,Obrera,si no trabaja no come,"trabajo, comida"
1114,Media,"tiene su casa, puede darse algunos gustos","vivienda, consumo"
776,Obrera,"porque para poder irme de vacaciones tengo que juntar un año para irme 5 días.si fuese clase media no tenés que ahorrar para irte, te vas y listo","vacaciones, ahorro"
766,Media,EN FUNCION A INGRESOS,ingresos
877,Media,"HOY NO ESTA TRABAJANDO, PORQUE GANA LO QUE GANA SIEMPRE TENES POCA PLATA. ESTA TODO MUY CARO","trabajo, ingresos, precios altos"
633,Baja,porque soy trabajador,trabajo
945,Obrera,PORQUE TRABAJA PARA SOBREVIVIR,"trabajo, sobrevivir"
390,Baja,"POR EL INGRESO QUE UNO TIENE, UNO VIVE COMO PUEDE",ingresos
1130,Obrera,el trabaja para mantener a su familia,"trabajo, familia"
939,Obrera,PORQUE VIENE DE FAMILIA LABURADORA,"familia, trabajo"
588,Obrera,porque soy un laburante,trabajo
65,Media,POR UN ESTANDAR DE VIDA MEDIO98,estándar de vida
394,Obrera,"trabajé toda mi vida y sobrevivo, no te salvas",trabajo
611,Obrera,porque vivo de mi trabajo,trabajo
891,Media,porque trabajo de lo que hago,trabajo
849,Obrera,trabajó toda su vida,trabajo
893,Obrera,"porque tengo una profesión, soy un trabajador",trabajo
226,Media,solamente por un estandar de vida y salario.porque está encasillado así,salario
46,Media,"POR LA LIGA EN LA QUE JUEGO, TENGO PREPARACIÓN, AUNQUE ECONÓMICAMENTE SOY POBRE, HOY NO PRODUZCO NADA, TENGO DIFICULTADES PARA PAGAR MIS CUENTAS, PERO NO PUEDO CONSIDERARME CLASE BAJA PORQUE ME FUI UN TIEMPO A EUROPA","trabajo, preparación, clase baja"
356,Baja,CLASE ALTA ES CUANDO UNO TIENE ALGO Y YO TODAVIA NI UNA BICI TENGO,"clase alta, posesiones"
800,Media,"porque tiene una casa, pudo estudiar y vive más o menos bien","vivienda, educación"
11,Media alta,"TENGO MI PROPIEDAD, ME DEDICO A LO QUE QUIERO, NO TUVE NEVESIDAD DE SALIR A TRABAJAR, PUDE ESPERAR A TRABAJAR DE LO QUE QUERIA","propiedad, trabajo, necesidad, educación"
1,Media,POR EL TIPO DE VIDA,vida
867,Media,PORQUE HAY UN SUELDO QUE ENTRE TODOS LOS MESESVIVE Y TIENE CAPACIDAD DE AHORRO,"ingresos, ahorro"
283,Media,"toda la vida laburé, pero me doy unos lujos","trabajo, consumo"
451,Obrera,toda su vida trabajó para vivir mientras estuvo sola,"trabajo, vivienda"
357,Obrera,"PORQUE TENEMOS TRABAJO, PORQUE CON MI SUELDO ALCANZA PARA VIVIR, TENGO AUTO","trabajo, ingresos, vivienda, transporte"
163,Media,POR LOS INGRESOS QUE TENGO Y LA EDUCACIÓN,"ingresos, educación"
130,Media,"porque son propietarias porque pude viajar, y tengo un buen nivel educativo y económico","propietarias, viajar, nivel educativo, económico"
1103,Baja,SU NO TRABAJO NO COMO Y VIVO EN LA CALLE,"trabajo, vivienda"
928,Baja,si fuese por lo económico no.por el lugar donde vive,vivienda
496,Obrera,"son todos trabajadores, no les falta nada pero tampoco llegan a la clase alta","trabajadores, clase alta"
557,Media,PORQUE TENGO ESTUDIOS COMPLETOS Y UN TRABAJO,"educación, trabajo"
304,Obrera,"porque tengo para comer, vivir y salir a veces","comida, vivienda, ocio"
943,Media,PORQUE LE ALCANZA PARA VIVIR. NO LE FALTA PERO TAMPOCO LE SOBRA,ingresos
267,Obrera,"PORQUE NECESITO TRBAAJAR PARA PODER VIVIR, SOSTENERME, Y ES CON LA FUERZA DE MI TRABAJO, Y TENGO UN IDOLO QUE ME REPRESENTA Y REPRESENTA A UN SECTOR","trabajo, vivir, sostenerse, fuerza de trabajo, ídolo, sector"
640,Obrera,"porque no tiene los medios, se hace muy difícil para el pobre el día a día","ingresos, día a día"
591,Obrera,porque trabajo y vivo de lo que trabajo,trabajo
399,Media,porque todo lo que tiene lo hizo trabajando,trabajo
98,Media,"porque no tiene bienes para inscribirse dentro de la alta burguesía, tengo un nivel de vida medio","burguesía, bienes, nivel de vida"
47,Media,"POR LOS INGRESOS, QUE UNO TIENE, POR EL TRABAJO","ingresos, trabajo"
947,Obrera,PORQUE SIEMPRE RTABAJO Y AL POBRE LE CUESTA MUCHO TENER ALGO,"trabajo, pobreza"
461,Baja,"por mi condición de excluido, y haga lo que haga sería clase obrera","excluido, clase obrera"
671,Media,por la parte económica,económica
1001,Baja,"porque la clase alta y media son las que tienen dinero, la clase baja son los que menos tienen","clase alta, clase media, clase baja, dinero"
1101,Obrera,"POR LA MANERA EN QUE LLEVE LA VIDA: PRODUCIR MIS COSAS, ARREGLARSELAS. NO ES HEREDADA DE LA COSTUMBRE DE LEER, FORMARSE, TENER ORGULLO LO QUE UNO ES, LA CONCIENCIA DE LO QUE NO ES, ELEVANDO LA CONCIENCIA DE CLASE","vida, producir, arreglárselas, leer, formarse, orgullo, conciencia, clase"
126,Media,por capital económico y condiciones laborales,"ingresos, condiciones laborales"
479,Media,trabaja para vivir,"trabajo, vivir"
847,Media,trabajó para lograrlo,trabajo
4,Media,"POR INGRESOS, CONDICIONES DE VIDA, HÁBITOS CULTURALES, VALORES","ingresos, condiciones de vida, hábitos culturales, valores"
675,Obrera,"porque es la que no se va de vacaciones, que lucha todos los días para tener la comida, me importa llegar a la quincena y que no me falte nada a mi hija o mi nieto","trabajo, comida, familia"
730,Obrera,PORQUE SOY LABURANTE,trabajo
798,Obrera,"porque siempre trabajó, es un obrero.no trabaja por su cuenta","trabajo, obrero"
415,Media,porque tengo un modo de vida más o menos bien.llega bien a fin de mes,ingresos
326,Media,porque mi marido es jubilado y sigue trabajando y todo lo que tenemos es un esfuerzo,"trabajo, jubilado, esfuerzo"
777,Obrera,porque mi fuerza productiva es el trabajo,trabajo
932,Media,PORQUE TENGO LA POSIBILIDAD EN OTRO NIVEL DE CLASE,nivel de clase
333,Baja,PORQUE TENGO QUE TRABAJAR MUCHO PARA ACCEDER A CUBIRIR LAS NECESIDADES BASICAS,"trabajo, necesidades básicas"
105,Media,no soy ni rica ni pobre,ninguna respuesta específica
803,Obrera,porque vivo solo de mi trabajo,trabajo
963,Baja,"por el barrio en que vive.los días de lluvia no llega limpia a la estación de glew, por el barrio que hay no entran ambulancias ni policías","vivienda, barrio"
1128,Obrera,porque trabajo para comer,"trabajo, comida"
15,Media,POR LOS ESTUDIOS QUE TUVE,educación
528,Obrera,"porque trabajó toda su vida, nadie le regaló nada",trabajo
733,Obrera,"porque es un trabajador, saliendo adelante por sus propios medios",trabajo
157,Media,PORQUE SUBSISTO TODOS LOS DÍAS,subsisto todos los días
1109,Obrera,porque siempre trabaja y casi no le alcanza para llegar a fin de mes,"trabajo, ingresos"
321,Obrera,"PORQUE SINO TRABAJO NO COMO, NADIE ME REGALA NADA",trabajo
545,Media,"POR EL PODER ADQUISITIVO QUE TENGO, TENGO UN TRABAJO Y PUEDO PAGAR UN ALQUILER. PUEDO MANTENERME Y DARME ALGUN GUSTO","trabajo, ingresos, vivienda, consumo"
961,Obrera,siempre hay que trabajar si quiere tener algo,"trabajo, tener algo"
643,Obrera,SON TRABAJDORES TODA LA FAMILIA,"trabajo, familia"
635,Media,porque tenemos suficientes ingresos,ingresos
60,Media,"porque no soy obrera, ni soy dueña de los medios de producción","clase, trabajo"
141,Media,"PORQUE TENGO ACCESO A LA EDUCACIÓN UNVERCITARIA, ESTOY TRABAJANDO, ME VOY DE VACACIONES, SE PUEDE PROGRESAR, CON ESFUERZO","educación, trabajo, vacaciones, progresar, esfuerzo"
769,Media,POR LA FORMA EN QUE VIVE,vivienda
286,Media,"porque conozco todas las clases por mi trabajo, mi deporte","trabajo, deporte"
120,Media,por mi nivel de consumo,consumo
238,Obrera,siempre han trabajado,trabajo
473,Media,"PORQUE ME FALTARIA UN POCO MAS PARA ESTAR EN LA CLASE MEDIA ALTA. TENER UNA CASA PROPIA Y VIVIR SOLO, EN UN SOLO TERRENO. IGUAL LES PAGO UNA ESCUELA PRIVADA A MIS HIJOS PARA QUE TENGAN UN ESTUDIO DIGNO","clase media alta, casa propia, vivir solo, terreno, escuela privada, estudio digno"
278,Media alta,PORQUE TENGO ESTUDIO Y TRABAJO,"educación, trabajo"
51,Obrera,porque labura,trabajo
194,Obrera,"PORQUE LA REMO, TRABAJO PARA VIVIR Y MANTENER A MIS HIJOS","trabajo, familia"
856,Obrera,"porque para mí hoy en día no existe la clase media, por lo menos en mi entorno","clase media, entorno"
610,Baja,porque no puedo a veces cubrir mis necesidades básicas,necesidades básicas
416,Obrera,"PORQUE SOY UN LABURANTE, NO HAGO OTRA COSA QUE LABURAR",trabajo
1022,Media,por la edad que tiene no va adelantar más,edad
620,Baja,no llega con la mínima.con una carrera de 20 años de servicio al darle el retiro cobra $1.800,"carrera, retiro, ingresos"
328,Media,"porque tengo una casa, un auto",vivienda
1119,Obrera,siempre trabajo para poder vivir no le falta pero tampoco le sobra,"trabajo, vivienda"
737,Obrera,"lo que único que hace para vivir, más allá de lo que a uno le guste, es trabajar",trabajo
892,Media,"porque no vivo en un barrio muy humilde, puedo pagar mis impuestos","vivienda, impuestos"
110,Media,"por los ingresos, educación","ingresos, educación"
837,Media,PORQUE TENGO LO JUSTO Y NECESARIO CON ESFUERZO,ingresos
786,Media,porque trabaja y porque vive relativamente bien,"trabajo, calidad de vida"
29,Media,porque tengo un nivel que me permite acceder a lo indispensable,"nivel, indispensable"
373,Obrera,SI NO SE TRABAJA SE MUERE DE HAMBRE,"trabajo, hambre"
1000,Obrera,porque lo mío fue siempre laburando,"laburando, trabajo"
158,Baja,"PORQUE NO ALCANZA EL DINERO PARA COMPRARSE UNA CASA, YA ESO PARA MI ES BAJO","ingresos, vivienda"
303,Obrera,por el tema económico más que nada98,ingresos
623,Media,porque trabajo y tengo recursos,"trabajo, recursos"
426,Media,"porque tengo un trabajom mi marido también, pero vivimos ahí, al día, no nos sobra","trabajo, vivienda"
583,Media,"tengo trabajo, casa, auto","trabajo, vivienda, transporte"
188,Media,por el estatus y las cosas a las que puedo acceder. No me puedo quejar,"estatus, acceso"
666,Media,ASI LO CLASIFICA EL SISTEMA ESCOLAR,educación
465,Media,porque somos gente laburante,trabajo
826,Media,PORQUE TRABAJA BIEN Y NO TIENE NCESIDADES MONETARIAS,"trabajo, necesidades monetarias"
395,Obrera,porque trabajo para vivir,trabajo
185,Media,"PORQUE MANTENGO UNA CASA, TENGO LABURO. COMPARTIMOS GASTOS CON MI VIEJA. CON ELLA TENEMOS UN AUTO. NO TENEMOS PROBLEMAS ECONÓMICOS","casa, trabajo, gastos económicos, auto"
823,Media,porque mi standard de vida me hace pensar,standard de vida
365,Obrera,"Y PORQUE NO TENGO YATE, CASA GRANDE, ME VOY DE VACACIONES DE VEZ EN CUANDO","ingresos, vivienda, vacaciones"
206,Media,simplemente porque tengo la posibilidad de seguir trabajando pero muchas veces por las circunstancias de estar sin dinero.sucede mucho eso en nuestra profesión,trabajo
672,Obrera,porque trabajo,trabajo
319,Media,"PORQUE LOS EXTREMOS SON MALES, NADA QUE LLEGUE A LOS EXTREMOS ES TOTALMENTE BUENO.",extremos
418,Obrera,"PORQUE YO TRABAJO, MI MARIDO TRABAJA, SIN TRABAJO NO LLEGAMOS A NINGUN LADO",trabajo
153,Media,"POR MI NIVEL SOCIOECONÓMICO Y TAMBIÉN POR CONSUMOS, CULTURAS (INTERESES, LITERATURA, CINE, TIPO DE MÚSICA)","nivel socioeconómico, consumos, culturas, intereses, literatura, cine, música"
420,Obrera,"PORQUE PERTENECE A LA GENTE QUE SI NO TRABAJA NO PODES VIVIR, NO SOS NADIE EN REALIDAD","trabajo, vivir"
336,Obrera,PORQUE NO FUI CAPAZ PARA AVANZAR MAS NI APROVECHAR LOS BUENOS MOMENTOS,"capacidad, momentos"
574,Media,"porque no vivo como me gustaría vivir, con más placeres.megustría irme al caribe de vacaciones como hacen muchos, tener una vivienda mejor, un auto nuevo, ayudar a mis hijos.la plata no hace la felicidad pero ayuda a vivir","vivienda, auto, hijos, dinero, placeres"
772,Media,solo por una cuestión de ingresos,ingresos
740,Obrera,porque tiene que trabajar para vivir,trabajo
405,Obrera,PORQUE TENGO UN TRABAJO ESTABLE Y UNA BUENA EDUCACIÓN,"trabajo, educación"
852,Obrera,PORQUE SIEMPRE VIVIO TRABAJANDO Y SIEMPRE TRABAJA,trabajo
1141,Media,"porque tengo la herencia cultural de la clase media, el habitus de la clase media","herencia cultural, habitus, clase media"
391,Media,"por lo que tenemos, por los ingresos",ingresos
19,Media,porque es ahí donde estoy,(pertenencia a una clase social no especificada)
851,Media,PORQUE NUNCA LLEGA A TENER TODO LO QUE NECESITA,necesidades
456,Obrera,todo lo que tiene lo hizo trabajando nadie le regaló nada,trabajo
619,Obrera,lo que tiene lo consiguió laburando nadie le regaló nada,laburando
638,Media,"porque puede comprar todo lo que quiere, paga sus impuestos y se puede dar todos los gustos","ingresos, consumo"
421,Obrera,"porque toda mi vida fue así, por mis familiares, por mis padres",familia
1136,Media,"no puedo terminar mi casa, el sueldo de mi marido, la sociedad no nos deja ahorrar, no nos deja avanzar.todo lo que se hace es con esfuerzo","vivienda, ingresos, sociedad, esfuerzo"
571,Media,"principalmente de familia, que son mis padres los que nos posibilitaron a todos el estudio y que no nos falte nada por lo menos hasta que empezamos a trabajar.y ahora no es que falta","familia, estudio, trabajo"
897,Media,"porque tengo lo que conseguí, hasta ahora no tengo que salir a trabajar, mucho no me puedo quejar","trabajo, ingresos"
287,Media,"porque tengo una vivienda, tengo un trabajo, todavía me puedo ir de vacaciones, puedo sostener un auto, no me endeudo, sostengo mi csa, mi negocio","trabajo, vivienda, vacaciones, auto, endeudamiento, negocio"
938,Media,INGRESO SUFICIENTE,ingresos
214,Media,"POR LA IDIOSINCRACIA, CULTIRAL, TIPO DE VALORES, ORIGEN, EDUCACIÓN","cultura, educación"
886,Obrera,"porque tienen que trabajar para sobrevivir, para poder tener algo",trabajo
325,Baja,PORQUE NO ME SOBRA EL DINERO,ingresos
166,Obrera,"PORQUE MI MARIDO LABURA, GRACIAS A DIOS NO NOS FALTA NADA. TENEMOS UN TECHO DONDE VIVIR, QUE ES LO PRINCIPAL.","trabajo, vivienda"
765,Media,POR MIS ESTUDIOS,educación
634,Obrera,trabajé siempre y dependo de un sueldo,trabajo
74,Media,por mi forma de vida,forma de vida
37,Media,"porque tengo un sueldo, por mi mi situación económica","ingresos, situación económica"
627,Obrera,PORQUE TRABAJO Y VIVIO UNA VIDA HONESTA LUCHANDO,"trabajo, vida honesta"
311,Media,"PORQUE TUVE POSIBILIDADES DE ESTUDIAR. TENGO TRABAJO, SOY INDEPENDIENTE ECONÓMICAMENTE. MI NIVEL EDUCATIVO ME PERMITE DESEMPEÑARME COMO PREFESIONAL Y OCMO PERSONA","trabajo, educación, independencia económica"
25,Obrera,por los ingresos,ingresos
773,Media,porque estoy económicaqmente mas o menos normal,economía
705,Media,no soy ni tan rico ni tan pobre,ingresos
291,Media,"POR DESCARTE, NO SE CONSIDERA NI DE LA ALTA NI DE LA BAJA",No se menciona ningún concepto relacionado a la pertenencia de clase en esta respuesta.
602,Media,POR NIVEL CULTURAL,cultura
5,Media,"PORQUE SOY PRODUCTO DE LA CLASE QUE MIGRO A ARGENTINA SIN NADA, SE PREPARO, TRABAJO Y HOY EN DÍA ES LA QUE MANTIENE EL PAÍS","clase, trabajo"
795,Media,PORQUE TENGO ANTIGÜEDAD EN MI TRABAJO TENGO ACCESO AL CREDITO,"trabajo, acceso al crédito"
134,Media,"por el estudio universitario, no soy hija de empresarios o de clase alta98","estudio universitario, clase alta"
400,Obrera,cuando estaba trabajando en la automotriz pertenecía a la clase media.hoy pertenece a la clase obrera porque día a día tiene que ganar para mantener a su familia,"trabajo, familia"
142,Media,POR INTERESES CULTURALES,"intereses, cultura"
590,Media,todo lo que quiere se lo puede comprar,"ingresos, consumo"
171,Media,la única distinción es subjetiva sobre el ingreso,ingresos
376,Media,"el gobierno no me ayuda.por vos mismo te hacés, no necesitás pedir.valerse por sí mismo","gobierno, ayuda, valerse por sí mismo"
935,Obrera,PORQUE SOY SIMPLE Y LABURANTE,trabajo
89,Media,porque es la laburante,trabajo
423,Obrera,por mi historia familiar,familia
546,Media,"PORQUE SOMOS TRABAJADORES, SUELDOS BASICOS","trabajo, sueldos"
431,Obrera,porque siempre trabajé,trabajo
645,Media,"TIENE DONDE VIVIR TIENE UN BUEN TRABAJO, VIVE BIEN","trabajo, vivienda"
676,Media,PORQUE GANA BIEN Y A LOS HIJOS NO LES FALTA NADA,"ingresos, familia"
294,Media,PORQUE TENGO LAS NECESIDADES DIARIAS RESUELTAS,"ingresos, necesidades diarias"
10,Media,"porque tengo necesidades básicas cubiertas, acceso educativas comida","educación, comida"
229,Baja,por la capacidad económica que maneja,ingresos
175,Media,tratan de superarse día a día,superación
797,Media alta,"por la ubicación del domicilio, por las costumbres","vivienda, cultura"
1104,Media,"PORQUE NO VIVO MAL, NO ME FALTA NADA PERO TAMPOCO ME SOBRA, PERO VIVO BIEN",vivienda
779,Media,"porque no soy ni rica ni estoy en la pobreza.no tengo un poder adquisitivo que me permita viajar, pero mis hijos van a colegio privado","ingresos, educación"
109,Media,"pude estudiar, trabajo de lo que estudié, no tengo auto","trabajo, educación, vivienda"
622,Baja,"trabajo demasiadas horas.me va bien pero son demasiadas horas.tengo un nene que casi no lo veo, no lo disfruto","trabajo, familia"
24,Obrera,porque soy una laburante,trabajo
807,Obrera,PORQUE TRABAJA,trabajo
270,Obrera,"PORQUE UNO TIENE QUE TRABAJAR, NO TE DA NADIE NADA. NUNCA HE RECIBIDO NADA DE POLITICOS. NOSTROS SI TENEMOS QUE TRABAJAR, TENEMOS QUE CUMPLIR","trabajo, política"
815,Media,porque me rompo el culo laburando,trabajo
299,Media alta,"PORQUE TERMINE ESTUDIOS, VIVO EN UN BARRIO CON SERVICIOS, TENGO AUTO","educación, vivienda, transporte"
156,Media,"PORQUE NO ME CONSIDERO, NI TAMPOCO LO QUE SE CONSIDERA BAJO, NO ME SOBRA, PERO TAMPOCO ME FALTA",ingresos
853,Media alta,"NO VIVO MAL, VIVO BIEN, TENGO LO QUE QUIERO","vivienda, ingresos, consumo"
358,Media,"PORQUE TRATO DE SOBREVIVIR TODOS LOS DIS, PARA CLASE ALTA ME FALTA UN MONTON",clase alta
924,Obrera,porque si no trabajas no comes,"trabajo, comida"
1117,Obrera,"porque trabaja, trabaja y trabaja",trabajo
801,Obrera,toda mi familia trabajó desde siempre,"familia, trabajo"
26,Media,porque tengo los recursos necesarios para poder vivir,"vivienda, ingresos, recursos"
781,Obrera,Y QUE ESTAS OPRIMIDO POR LAS DOS CLASES SOCIALES DE ABAJO Y DE LAS DE ARRIBA,"clase social, clases sociales"
184,Media,"PORQUE NO ME FALTA UN PLATO DE COMIDA, A MI HIJO EN REALIDAD NO LE FALTA, POR ESO.","comida, familia"
244,Media,"porque tengo estudios, tengo trabajo medianamente estable","educación, trabajo"
1132,Obrera,PORQUE TENGO QUE TRABAJAR MUCHO PARA VIVIR EL DIA A DIA,"trabajo, vivir el día a día"
612,Baja,"porque no tengo un trabajo que sea bien remunerado, porque mis hijas no tienen trabajo y se pusieron a estudiar por no conseguir uno y porque no soy dueña d mi casa","trabajo, ingresos, educación, vivienda"
334,Baja,PORQUE ME ALCANZA EL SUELDO SOLO PARA LOS GASTOS MINIMOS,"ingresos, gastos"
732,Obrera,porque trabajó toda su vida,trabajo
572,Media,porque vivimos al día.tengo la casa porque la heredé sino no podría haber tenido nunca,"vivienda, herencia"
297,Media,POR LUGAR DONDE NACI Y FAMILIA,"familia, lugar de nacimiento"
